2 theta,Intensity
5.000100136,-0.045900361
5.020539675,-0.124123714
5.040979214,0.04435033
5.061418753,-0.085766336
5.081858292,-0.030098713
5.102297831,-0.031702356
5.12273737,-0.045438376
5.14317691,0.017571041
5.163616449,0.007684191
5.184055988,-0.019543369
5.204495527,0.052207805
5.224935066,-0.002756731
5.245374605,-0.017770312
5.265814144,0.087028175
5.286253683,-0.009541827
5.306693222,0.043214127
5.327132761,0.01439326
5.347572301,0.049828904
5.36801184,-0.006728941
5.388451379,0.004441949
5.408890918,-0.048602872
5.429330457,-0.006325353
5.449769996,0.110625345
5.470209535,-0.015459112
5.490649074,0.080699053
5.511088613,0.036252619
5.531528153,0.017868252
5.551967692,-0.030009603
5.572407231,-0.037936502
5.59284677,0.025337554
5.613286309,0.03828479
5.633725848,0.025210759
5.654165387,0.065976572
5.674604926,-0.021709435
5.695044465,0.045138846
5.715484004,0.059924195
5.735923544,0.085146611
5.756363083,-0.021555017
5.776802622,0.024541533
5.797242161,-0.007466516
5.8176817,0.076865279
5.838121239,-0.001976969
5.858560778,-0.026979372
5.879000317,0.104288625
5.899439856,0.063702023
5.919879396,0.030080265
5.940318935,0.098909464
5.960758474,0.025397952
5.981198013,0.010934619
6.001637552,0.013852797
6.022077091,0.065402486
6.04251663,0.019750354
6.062956169,-0.041506377
6.083395708,0.041354514
6.103835247,0.051319139
6.124274787,0.066512498
6.144714326,0.081726257
6.165153865,0.077863194
6.185593404,0.02367331
6.206032943,0.085823271
6.226472482,0.022993632
6.246912021,0.073031617
6.26735156,0.053645557
6.287791099,0.011710453
6.308230639,0.124309638
6.328670178,0.04248478
6.349109717,-0.020222456
6.369549256,0.007368487
6.389988795,-0.048353503
6.410428334,0.053931018
6.430867873,0.107624829
6.451307412,0.08321404
6.471746951,0.10222643
6.49218649,0.039661998
6.51262603,-0.005520923
6.533065569,0.081261002
6.553505108,0.013549438
6.573944647,0.053497163
6.594384186,0.013604178
6.614823725,0.076162149
6.635263264,-0.050495591
6.655702803,0.10411707
6.676142342,-0.065902646
6.696581881,0.034931371
6.717021421,-0.039561433
6.73746096,-0.030700504
6.757900499,0.032000271
6.778340038,-0.061528554
6.798779577,0.075865799
6.819219116,0.013627775
6.839658655,0.02779904
6.860098194,-0.055231516
6.880537733,0.056202772
6.900977273,0.028768572
6.921416812,0.072535329
6.941856351,0.118058596
6.96229589,0.036866154
6.982735429,0.042499667
7.003174968,0.115861914
7.023614507,0.043411229
7.044054046,0.045633721
7.064493585,-0.002470608
7.084933124,-0.027985092
7.105372664,0.003812491
7.125812203,0.049519363
7.146251742,0.001496636
7.166691281,0.073285976
7.18713082,0.061762383
7.207570359,-0.027865809
7.228009898,-0.051501378
7.248449437,-0.024251174
7.268888976,0.081144432
7.289328516,0.028574327
7.309768055,0.0819274
7.330207594,-0.043518571
7.350647133,0.10015308
7.371086672,0.035511799
7.391526211,-0.003067414
7.41196575,0.013929328
7.432405289,0.039627026
7.452844828,0.07402568
7.473284367,0.13101418
7.493723907,-0.015101921
7.514163446,0.062760713
7.534602985,0.050365969
7.555042524,0.022366626
7.575482063,0.011748795
7.595921602,0.05844303
7.616361141,-0.033731222
7.63680068,0.02168437
7.657240219,0.085800918
7.677679759,-0.0479788
7.698119298,0.012706327
7.718558837,-0.023810368
7.738998376,-0.042945551
7.759437915,-0.001296444
7.779877454,0.024748063
7.800316993,0.017826859
7.820756532,-0.035948944
7.841196071,0.059601208
7.86163561,-0.047953238
7.88207515,0.052846049
7.902514689,0.066860181
7.922954228,-0.040633064
7.943393767,0.02203298
7.963833306,0.048261091
7.984272845,-0.001879286
8.004712384,-0.053735373
8.025151923,-0.039846964
8.045591462,0.092117401
8.066031002,0.038338277
8.086470541,0.097426776
8.10691008,0.043688454
8.127349619,0.083720532
8.147789158,-0.008171434
8.168228697,0.014540334
8.188668236,0.051161392
8.209107775,0.027038961
8.229547314,-0.000535292
8.249986853,-0.026353033
8.270426393,0.173544071
8.290865932,-0.062302314
8.311305471,-0.039447742
8.33174501,-0.01657277
8.352184549,-0.000621842
8.372624088,0.018821709
8.393063627,-0.064144895
8.413503166,0.036936679
8.433942705,0.013038653
8.454382244,0.00652214
8.474821784,-0.032960085
8.495261323,-0.023810798
8.515700862,0.00098389
8.536140401,0.036215645
8.55657994,0.043690023
8.577019479,0.042504245
8.597459018,-0.000327799
8.617898557,-0.034458886
8.638338096,-0.065097351
8.658777636,0.033519995
8.679217175,0.113060519
8.699656714,-0.017448001
8.720096253,0.001369435
8.740535792,0.077498939
8.760975331,0.05642662
8.78141487,-0.054903075
8.801854409,0.019551518
8.822293948,0.085345957
8.842733487,0.008799685
8.863173027,-0.052101186
8.883612566,0.091879454
8.904052105,0.037963828
8.924491644,0.050040825
8.944931183,0.119429889
8.965370722,0.010019909
8.985810261,-0.049022449
9.0062498,0.006538928
9.026689339,-0.068087628
9.047128879,0.056958994
9.067568418,-0.002001761
9.088007957,0.022391217
9.108447496,0.043332374
9.128887035,-0.036400513
9.149326574,-0.011946333
9.169766113,0.003847692
9.190205652,0.035287118
9.210645191,0.071955277
9.23108473,0.02010217
9.25152427,-0.026522203
9.271963809,-0.04882062
9.292403348,0.069526364
9.312842887,0.057685415
9.333282426,0.104892644
9.353721965,0.042745273
9.374161504,0.011868304
9.394601043,-0.126627155
9.415040582,0.040453343
9.435480122,0.040887575
9.455919661,0.001411651
9.4763592,-0.067557761
9.496798739,0.012798783
9.517238278,0.140050728
9.537677817,-3.80E-05
9.558117356,0.059546375
9.578556895,0.105262299
9.598996434,0.034679179
9.619435973,0.064810904
9.639875513,0.075865807
9.660315052,0.137288333
9.680754591,0.045953482
9.70119413,-0.029735969
9.721633669,-0.046377241
9.742073208,0.046376887
9.762512747,0.057554193
9.782952286,0.0062519
9.803391825,0.106011674
9.823831365,-0.033791485
9.844270904,-0.008643688
9.864710443,0.07902451
