2 theta,Intensity
5.000100136,-0.050077101
5.020539675,-0.027140814
5.040979214,0.042690937
5.061418753,-0.036762402
5.081858292,-0.048486945
5.102297831,0.009333687
5.12273737,0.072383116
5.14317691,-0.019060879
5.163616449,-0.023678855
5.184055988,0.029015301
5.204495527,0.033118809
5.224935066,0.030298338
5.245374605,-0.010696113
5.265814144,0.085482677
5.286253683,-0.017970845
5.306693222,0.078248874
5.327132761,0.113725169
5.347572301,-0.034805849
5.36801184,0.047586374
5.388451379,0.046665729
5.408890918,0.097848881
5.429330457,-0.036711391
5.449769996,0.004096023
5.470209535,-0.010631653
5.490649074,0.03021669
5.511088613,0.038099386
5.531528153,-0.02691412
5.551967692,0.08170395
5.572407231,0.04450915
5.59284677,0.069834815
5.613286309,-0.031555167
5.633725848,0.028533649
5.654165387,0.05912904
5.674604926,-0.017893993
5.695044465,0.059617327
5.715484004,0.060760222
5.735923544,0.009840249
5.756363083,-0.037587038
5.776802622,0.08861725
5.797242161,0.036022559
5.8176817,0.070253887
5.838121239,0.02638068
5.858560778,0.140514048
5.879000317,0.03591788
5.899439856,0.075439399
5.919879396,-0.102032506
5.940318935,-0.05031728
5.960758474,0.019112732
5.981198013,0.033007654
6.001637552,-0.050299183
6.022077091,-0.012057777
6.04251663,0.017523537
6.062956169,0.001986427
6.083395708,0.035080892
6.103835247,-0.068956956
6.124274787,0.024942327
6.144714326,-0.056485148
6.165153865,0.006205064
6.185593404,0.00641574
6.206032943,-0.010714231
6.226472482,-0.008726515
6.246912021,-0.010190557
6.26735156,0.019615865
6.287791099,0.019928863
6.308230639,0.048040103
6.328670178,0.011935696
6.349109717,0.069601754
6.369549256,0.063052164
6.389988795,-0.044171405
6.410428334,0.003139379
6.430867873,0.027901183
6.451307412,0.042266784
6.471746951,0.018458406
6.49218649,0.03980938
6.51262603,0.009097486
6.533065569,0.035697723
6.553505108,0.003290646
6.573944647,0.010834589
6.594384186,-0.045837114
6.614823725,0.07459498
6.635263264,0.005811427
6.655702803,-0.002187772
6.676142342,0.069694604
6.696581881,-0.061527556
6.717021421,0.053798527
6.73746096,0.044145074
6.757900499,0.001525974
6.778340038,0.03878845
6.798779577,0.025724168
6.819219116,-0.025514095
6.839658655,0.018754218
6.860098194,0.028320774
6.880537733,0.018810571
6.900977273,-0.002831945
6.921416812,0.031101559
6.941856351,-0.021750028
6.96229589,0.029585515
6.982735429,0.034066524
7.003174968,-0.00136256
7.023614507,0.032673266
7.044054046,0.073674001
7.064493585,0.078236866
7.084933124,-0.009193693
7.105372664,0.04054899
7.125812203,0.033020471
7.146251742,0.018567972
7.166691281,0.004135937
7.18713082,-0.055414523
7.207570359,0.051722149
7.228009898,0.098115396
7.248449437,0.019529107
7.268888976,0.069435505
7.289328516,0.036029034
7.309768055,-0.052912528
7.330207594,-0.051555848
7.350647133,-0.024137037
7.371086672,-0.069614428
7.391526211,0.067220311
7.41196575,0.046089404
7.432405289,0.089215072
7.452844828,0.042083427
7.473284367,-0.041486087
7.493723907,-0.059062914
7.514163446,0.133450167
7.534602985,0.02390038
7.555042524,0.06020439
7.575482063,-0.002429469
7.595921602,0.035651581
7.616361141,0.033822539
7.63680068,0.070208407
7.657240219,-0.018385262
7.677679759,0.012833201
7.698119298,0.110044351
7.718558837,0.019775965
7.738998376,-0.020124735
7.759437915,0.016383918
7.779877454,0.035551925
7.800316993,0.139809841
7.820756532,0.020129888
7.841196071,-0.038765712
7.86163561,0.114164707
7.88207515,-0.017606631
7.902514689,0.07633694
7.922954228,0.019259308
7.943393767,0.050743808
7.963833306,0.021484883
7.984272845,-0.000809133
8.004712384,-0.066485463
8.025151923,0.077928116
8.045591462,0.003612159
8.066031002,-0.025544444
8.086470541,-0.061625027
8.10691008,0.026437195
8.127349619,-0.097285673
8.147789158,0.0099147
8.168228697,0.080677205
8.188668236,-0.062081493
8.209107775,0.045180273
8.229547314,-0.050662496
8.249986853,0.082681866
8.270426393,0.00944947
8.290865932,0.003945872
8.311305471,0.008879405
8.33174501,-0.057347154
8.352184549,0.074363419
8.372624088,0.002969456
8.393063627,0.058332068
8.413503166,-0.007812633
8.433942705,0.05106313
8.454382244,0.08218158
8.474821784,0.13762605
8.495261323,-0.01697846
8.515700862,0.127048605
8.536140401,0.059290579
8.55657994,0.132178017
8.577019479,0.067933142
8.597459018,0.076625398
8.617898557,0.080129785
8.638338096,0.01073797
8.658777636,0.073311063
8.679217175,0.000487955
8.699656714,0.031851977
8.720096253,0.044139241
8.740535792,0.10332197
8.760975331,0.11217794
8.78141487,0.027304376
8.801854409,0.088284608
8.822293948,0.03122975
8.842733487,0.245028689
8.863173027,0.068223093
8.883612566,0.207410183
8.904052105,0.134812182
8.924491644,0.062234646
8.944931183,0.073010907
8.965370722,-0.023831256
8.985810261,-0.059889067
9.0062498,0.020236153
9.026689339,0.020520726
9.047128879,0.152770208
9.067568418,0.09059571
9.088007957,0.026705565
9.108447496,-0.011122449
9.128887035,0.102111668
9.149326574,0.015713472
